UID,FIRST,LAST,BORN,CONGRESSES,PARTY,LOC
Q000001,John Adam,Quackenbush,10/15/1828,51-52,R,NY
Q000002,James Minor,Quarles,02/08/1823,36,O,VA
Q000003,Joseph Very,Quarles,12/16/1843,56-57-58,R,WI
Q000004,Julian Minor,Quarles,09/25/1848,56,D,VA
Q000006,Matthew Stanley,Quay,09/30/1833,50-51-52-53-54-55-57-58,R,PA
Q000007,James Danforth (Dan),Quayle,02/04/1947,95-96-97-98-99-100-0,R,IN
Q000008,John Francis,Quayle,12/01/1868,68-69-70-71,D,NY
Q000009,Manuel L.,Quezon,08/19/1878,61-62-63-64,N,PH
Q000010,Albert Harold,Quie,09/18/1923,85-86-87-88-89-90-91-92-93-94-95,R,MI
Q000011,Lemuel Ely,Quigg,02/12/1863,53-54-55,R,MD
Q000012,James Michael,Quigley,03/30/1918,84-86,D,PA
Q000013,James Henry,Quillen,01/11/1916,88-89-90-91-92-93-94-95-96-97-98-99-100-101-102-103-104,R,VA
Q000014,Percy Edwards,Quin,10/30/1872,63-64-65-66-67-68-69-70-71-72,D,MI
Q000015,Josiah,Quincy,02/04/1772,9-10-11-12,F,MA
Q000016,John Francis (Jack),Quinn,04/13/1951,103-104-105-106-107-108,R,NY
Q000017,James Leland,Quinn,09/08/1875,74-75,D,PA
Q000018,John,Quinn,08/09/1839,51,D,IR
Q000019,Peter Anthony,Quinn,05/10/1904,79,D,BO
Q000020,Terence John,Quinn,10/16/1836,45,D,NY
Q000021,Thomas Vincent,Quinn,03/16/1903,81-82,D,NY
Q000022,John Anthony,Quitman,09/01/1798,34-35,D,NY
Q000023,Mike,Quigley,10/17/1958,111-112-113-114-115-116-117-118,D,IN
Q000024,Ben,Quayle,11/03/1976,112,R,IN
