UID,FIRST,LAST,BORN,CONGRESSES,PARTY,LOC
U000001,Morris King,Udall,06/15/1922,87-88-89-90-91-92-93-94-95-96-97-98-99-100-101-102,D,AR
U000002,Stewart Lee,Udall,01/31/1920,84-85-86-87,D,AR
U000003,Daniel,Udree,08/05/1751,13-16-17-18,J,PA
U000004,Albert Conrad,Ullman,03/09/1914,85-86-87-88-89-90-91-92-93-94-95-96,D,MO
U000005,William Bradley,Umstead,05/13/1895,73-74-75-79-80,D,NC
U000006,Charles Lee,Underhill,07/20/1867,67-68-69-70-71-72,R,VA
U000007,Edwin Stewart,Underhill,10/07/1861,62-63,D,NY
U000008,John Quincy,Underhill,02/19/1848,56,D,NY
U000009,Walter,Underhill,09/12/1795,31,W,
U000010,John William Henderson,Underwood,11/20/1816,36,D,GA
U000011,Joseph Rogers,Underwood,10/24/1791,24-25-26-27-30-31-32,W,VA
U000012,Mell Gilbert,Underwood,01/30/1892,68-69-70-71-72-73-74,D,OH
U000013,Oscar Wilder,Underwood,05/06/1862,62-63-56-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69,D,KY
U000014,Robert A.,Underwood,07/13/1948,103-104-105-106-107,D,GU
U000015,Thomas Rust,Underwood,03/03/1898,81-82-82,D,KY
U000016,Warner Lewis,Underwood,08/07/1808,34-35,A,VA
U000017,Jolene,Unsoeld,12/03/1931,101-102-103,D,OR
U000018,Jonathan Taylor,Updegraff,05/13/1822,46-47,R,OH
U000019,Thomas,Updegraff,04/03/1834,46-47-53-54-55,R,PA
U000020,Ralph Eugene,Updike,05/27/1894,69-70,R,IN
U000021,Charles Wentworth,Upham,05/04/1802,33,W,CA
U000022,George Baxter,Upham,12/27/1768,7,F,MA
U000023,Jabez,Upham,08/23/1764,10-11,F,MA
U000024,Nathaniel,Upham,06/09/1774,15-16-17,D,NH
U000025,William,Upham,08/05/1792,28-29-30-31-32,W,MA
U000026,William David,Upshaw,10/15/1866,66-67-68-69,D,GA
U000027,Charles,Upson,03/19/1821,38-39-40,R,CO
U000028,Christopher Columbus,Upson,10/17/1829,46-47,D,NY
U000029,William Hanford,Upson,01/11/1823,41-42,R,OH
U000030,Charles Horace,Upton,08/23/1812,37,U,MA
U000031,Frederick Stephen,Upton,04/23/1953,100-101-102-103-104-105-106-107-108-109-110-111-112-113-114-115-116-117,R,MI
U000032,Robert William,Upton,02/03/1884,83,R,MA
U000033,Milton George,Urner,07/29/1839,46-47,R,MD
U000034,James Boyd,Utt,03/11/1899,83-84-85-86-87-88-89-90-91,R,CA
U000035,George Herbert,Utter,07/24/1854,62,R,NJ
U000036,Hubert,Utterback,06/28/1880,74,D,IO
U000037,John Gregg,Utterback,07/12/1872,73,D,IN
U000038,Mark,Udall,07/18/1950,106-107-108-109-110-111-112-113,D,AR
U000039,Thomas (Tom),Udall,05/18/1948,106-107-108-109-110-111-112-113-114-115-116,D,AR
U000040,Lauren,Underwood,10/04/1986,116-117-118,D,OH
