UID,FIRST,LAST,BORN,CONGRESSES,PARTY,LOC
Z000001,Clement John,Zablocki,11/18/1912,81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97,D,WI
Z000002,Leo C.,Zeferetti,07/15/1927,94-95-96-97,D,NY
Z000003,Herbert,Zelenko,03/16/1906,84-85-86-87,D,BO
Z000004,"William H., Jr.",Zeliff,06/12/1936,102-103-104,R,NJ
Z000005,William Taylor,Zenor,04/30/1846,55-56-57-58-59,D,IN
Z000006,Edward Danner,Ziegler,03/03/1844,56,D,PA
Z000007,Frederick Nicholas,Zihlman,10/02/1879,65-66-67-68-69-70-71,R,PA
Z000008,Richard,Zimmer,08/16/1944,102-103-104,R,NJ
Z000009,Orville,Zimmerman,12/31/1880,74-75-76-77-78-79-80,D,MO
Z000010,Roger Herschel,Zion,09/17/1921,90-91-92-93,R,MI
Z000011,Marion Anthony,Zioncheck,12/05/1900,73-74,D,PO
Z000012,Felix Kirk,Zollicoffer,05/19/1812,33-34-35,A,TE
Z000013,Edward,Zorinsky,11/11/1928,94-95-96-97-98-99-100,D,NE
Z000014,Edwin Van Wyck,Zschau,01/06/1940,98-99,R,NE
Z000015,John Joachim,Zubly,08/27/1724,0,N,SW
Z000016,John Matthew,Zwach,02/08/1907,90-91-92-93,R,MI
Z000017,Lee M,Zeldin,01/30/1980,114-115-116-117,R,NY
Z000018,Ryan,Zinke,11/01/1961,114-115-118,R,MO
